,管轄署,種別,日時,場所,状況,特徴,住所,address,count,color,都道府県コード,都道府県名,都道府県名カナ,都道府県名ローマ字,市区町村コード,市区町村名,市区町村名カナ,市区町村名ローマ字,大字町丁目名,大字町丁目名カナ,大字町丁目名ローマ字,小字・通称名,緯度,経度
103,松山東署管内,声かけ,令和4年8月6日(土) 午後0時35分ころ,松山市喜与町一丁目の路上,小学生女児が自転車で走行中、徒歩の男から卑わいな言葉をかけられたもの。,10~15歳位、中肉、身長150~155センチ位、黒色短髪、灰色長ズボン、紫色リュックサック所持、メガネ・マスクなし、徒歩,松山市喜与町一丁目の,松山市喜与町一丁目,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,喜与町一丁目,キヨマチ 1,KIYOMACHI 1,,33.843858,132.773748
104,大洲署管内,写真撮影等,令和4年8月3日(水)午後4時50分ころ,八幡浜市から大洲市までを走行中の列車内,女子高校生3名が列車に乗車中、向かいの座席に座っていた男から携帯電話機のカメラレンズを向けられたもの。,40~50歳位、中肉、上衣:白色半袖Tシャツ、黒色帽子着用、黒色エナメル製バッグ所持,八幡浜市から大洲市までを走行中の列車内,八幡浜市から大洲市までを走行中の列車内,0,写真撮影等,,,,,,,,,,,,,,
105,松山東署管内,つきまとい,令和4年8月3日(水) 午前8時ころ,松山市湊町七丁目の路上,男が胸元にデジタルカメラ様のものを構えた状態で、女子高校生の後方をつきまとっていたもの。,50~60歳位、やせ型、170cm位、上衣:白色半袖Yシャツ、下衣:灰色スラックス様、ヘアバンド着用、オレンジ色デジタルカメラ様を所持、日傘をさしていた、徒歩,松山市湊町七丁目の,松山市湊町七丁目,1,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,湊町七丁目,ミナトマチ 7,MINATOMACHI 7,,33.835713,132.755855
106,松山西署管内,声かけ,令和4年8月2日(火) 午後6時ころ,松山市東垣生町の公園内,女性が子供と遊んでいたところ、男から「お前ら〇〇(ゲーム名)をやりにきたんか。」等と声をかけられたもの。,40~50歳位、中肉、身長170センチ位、黒色短髪、白色半袖Tシャツ、紺色様長ズボン、メガネなし、徒歩,松山市東垣生町の,松山市東垣生町,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,東垣生町,ヒガシハブマチ,HIGASHIHABUMACHI,,33.813135,132.714338
107,西条西署管内,声かけ,令和4年8月2日(火) 午後3時30分ころ,西条市桑村の路上,女子高校生が自動販売機で買い物中、自転車に乗った男が近づいてきたことから視線を向けたところ、同人から「こっち見んなや。」と叫ばれたもの。,40歳位、中肉、天然パーマ様の黒色長髪、上衣:Tシャツ、下衣:黒色ジャージ、浅黒、麦わら帽子・赤色サングラス着用、自転車使用(銀色、前カゴ付き、ママチャリ様),西条市桑村の,西条市桑村,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38206.0,西条市,サイジョウシ,SAIJO SHI,桑村,クワムラ,KUWAMURA,,33.940968,133.058006
108,新居浜署管内,不審者,令和4年8月2日(火) 午前11時45分ころ,新居浜市政枝町三丁目の一般住宅敷地内,女性が在宅中、男からインターホンのカメラを手で覆った状態で、インターホンを鳴らされたもの。その際、男は聞き取れない言葉を話しており、声が高齢男性の感じであった。,高齢,新居浜市政枝町三丁目の,新居浜市政枝町三丁目,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38205.0,新居浜市,ニイハマシ,NIIHAMA SHI,政枝町三丁目,マサエダチョウ 3,MASAEDACHO 3,,33.941494,133.284852
109,宇和島署管内,つきまとい,令和4年7月31日(日) 午後1時45分ころ,宇和島市恵美須町二丁目の店舗内,女子高校生2名が店舗内設置の椅子に座っていたところ、男から聞き取れない言葉で声をかけられ、つきまとわれたもの。,50歳位、中肉、身長160センチ位、灰色長袖シャツ(横縞模様)、黒色長ズボン、黒縁メガネ・黒色キャップ帽着用、白色トートバッグ・透明傘所持、携帯電話機を首から下げている、徒歩,宇和島市恵美須町二丁目の,宇和島市恵美須町二丁目,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38203.0,宇和島市,ウワジマシ,UWAJIMA SHI,恵美須町二丁目,エビスマチ 2,EBISUMACHI 2,,33.225312,132.564231
110,松山西署管内,つきまとい,令和4年7月27日(水) 午後10時15分ころ,松山市北斎院町の路上,女子高校生が自転車で走行中、自転車に2人乗りをした男から、「待ってよ。」等と声をかけられた上、追い掛けられて後方をつきまとわれたもの。,A(白色の軽快兼用自転車運転、高校生位の男、やせ型、灰色様半袖Tシャツ、灰色様半ズボン)  B(自転車後部、高校生位の男、小肥、灰色様半袖Tシャツ、灰色様半ズボン),松山市北斎院町の,松山市北斎院町,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,北斎院町,キタサヤチョウ,KITASAYACHO,,33.839402,132.723636
111,松山東署管内,不審者,令和4年7月27日(水) 午前9時ころ,松山市湊町四丁目の路上,女性が歩行中、自転車で蛇行運転していた男から、不自然に急接近されたもの。,50歳位、やせ型、坊主に近い短髪、濃い緑色Tシャツ、紺色半ズボン、ママチャリ様の自転車使用,松山市湊町四丁目の,松山市湊町四丁目,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,湊町四丁目,ミナトマチ 4,MINATOMACHI 4,,33.835795,132.765892
112,伊予署管内,つきまとい,令和4年7月27日(水) 午前7時ころ,伊予市米湊の路上,男が、通りすがりの女性に対して声をかけたり、つきまとったりしていたもの。,60~70歳位、やせ型、身長160センチ位、白髪混じりの短髪、部屋着様の服、メガネ・マスク・ヒゲなし、徒歩,伊予市米湊の,伊予市米湊,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,米湊,コミナト,KOMINATO,,33.753461,132.703302
113,伊予署管内,つきまとい,令和4年7月27日(水) 午前7時ころ,伊予市米湊の路上,男が、通りすがりの女性に対して声をかけたり、つきまとったりしていたもの。,60~70歳位、やせ型、身長160センチ位、白髪混じりの短髪、部屋着様の服、メガネ・マスク・ヒゲなし、徒歩,伊予市米湊の,伊予市米湊,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,米湊,コミナト,KOMINATO,安広,33.757102,132.705117
114,松山東署管内,ちかん,令和4年7月25日(月) 午後6時25分ころ,松山市千舟町二丁目の路上,小学生男児が歩行中、後方から近付いてきた男から追い抜きざまに、下半身を触られたもの。,70~80歳位、中肉、身長165~170センチ位、白色短髪、半袖Tシャツ、長ズボン、黒縁メガネ・白色不織布マスク着用、徒歩,松山市千舟町二丁目の,松山市千舟町二丁目,0,gray,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,千舟町二丁目,チフネマチ 2,CHIFUNEMACHI 2,,33.836603,132.771485
115,宇和島署管内,つきまとい,令和4年7月23日(土) 午前7時30分ころ,宇和島市新田町四丁目の路上,男子中学生が歩行中、対向から歩いて来た男から、すれ違い後Uターンして、後方をつきまとわれたもの。,20~30歳位、中肉、身長170センチ位、半袖の上衣、長ズボン、黒色帽子・白色マスク着用、黒色リュックサック所持、徒歩,宇和島市新田町四丁目の,宇和島市新田町四丁目,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38203.0,宇和島市,ウワジマシ,UWAJIMA SHI,新田町四丁目,シンデンチョウ 4,SHINDENCHO 4,,33.213785,132.55536
116,松山東署管内,写真撮影等,令和4年7月21日(木) 午後6時ころ,松山市畑寺町の施設敷地内,中学生らが運動中、付近にある家屋方向からカメラのフラッシュ様のものが見えたもの。,,松山市畑寺町の,松山市畑寺町,0,写真撮影等,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,畑寺町,ハタデラマチ,HATADERAMACHI,,33.832092,132.808517
117,四国中央署管内,身体露出,令和4年7月19日(火) 午後7時ころ,四国中央市土居町津根の路上,女子高校生が歩行中、後方から近付いてきた男から「見るか。」と声をかけられた上、露出させた下半身を見せつけられたもの。,30~50歳位、身長170センチ位、茶髪、白色Tシャツ、黒色ズボン、黒色キャップ帽・白色マスク着用、徒歩,四国中央市土居町津根の,四国中央市土居町津根,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,土居町津根,ドイチョウツネ,DOICHO TSUNE,,33.967002,133.45345
118,四国中央署管内,身体露出,令和4年7月19日(火) 午後4時ころ,四国中央市土居町土居の路上,小学生女児が歩行中、後方から近付いてきた男から「見て。」と声をかけられた上、露出させた下半身を見せつけられたもの。,30~40歳位、身長170センチ位、金髪、黒色半袖シャツ、黒色ズボン、黒色バッグ着用(腰に装着、ペットボトル入り)、マスクなし、徒歩,四国中央市土居町土居の,四国中央市土居町土居,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,土居町土居,ドイチョウドイ,DOICHO DOI,,33.961412,133.421499
119,西予署管内,声かけ,令和4年7月19日(火) 午後4時ころ,西予市野村町野村の路上,小学生男児が歩行中、男から「どこの地区に住んでいるの?」と声をかけられ、後方をつきまとわれたもの。,60歳位、身長160センチ位、白髪、フレームの細いメガネ着用、懐中電灯所持、徒歩,西予市野村町野村の,西予市野村町野村,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38214.0,西予市,セイヨシ,SEIYO SHI,野村町野村,ノムラチョウノムラ,NOMURACHO NOMURA,,33.361119,132.643658
120,四国中央署管内,身体露出,令和4年7月19日(火) 午後1時40分ころ,四国中央市中曽根町の路上,女子高校生2名が歩行中、後方から近付いてきた男から「これ見て。」と声をかけられた上、露出した下半身を見せつけられたもの。,25~30歳位、やせ型、身長165センチ位、ツイストパーマの金髪(前髪が目にかかる位の長さ)、上下黒色ジャージ、黒色キャップ帽・マスク着用、色黒、徒歩,四国中央市中曽根町の,四国中央市中曽根町,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,中曽根町,ナカゾネチョウ,NAKAZONECHO,,33.965099,133.549186
121,西予署管内,建造物侵入,令和4年7月17日(日) 午後9時ころ,西予市宇和町下松葉の屋外設置の女子トイレ内,性別不明の者が、女子トイレ内にいたもの。(声が低く、男性の可能性あり),中年、身長155~160センチ位、紺色半袖、徒歩,西予市宇和町下松葉の,西予市宇和町下松葉,1,darkred,38.0,愛媛県,エヒメケン,EHIME KEN,38214.0,西予市,セイヨシ,SEIYO SHI,宇和町下松葉,ウワチョウシモマツバ,UWACHO SHIMOMATSUBA,,33.374804,132.506239
122,今治署管内,つきまとい,令和4年7月15日(金) 午後8時20分ころ,今治市大西町紺原の路上,女性ら数名が自転車で走行中、女性が自転車に乗った男から追い掛けられ、服を引っ張られたもの。,35~40歳位、やせ型、黒色の服、黒色ズボン、自転車利用,今治市大西町紺原の,今治市大西町紺原,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,大西町紺原,オオニシチョウコンバラ,ONISHICHO KOMBARA,,34.067114,132.938228
123,松山東署管内,つきまとい,令和4年7月15日(金) 午後1時10分ころ,松山市湊町四丁目の路上,女性が歩行中、男から後方をつきまとわれ、その後、ニヤニヤしながら指を差されて、聞き取れない言葉を言われたもの。,30歳位、やせ型、身長160~170cm位、白髪交じりの短髪、ピンク色半袖ポロシャツ、柄付き半ズボン、サンダル着用,松山市湊町四丁目の,松山市湊町四丁目,1,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,湊町四丁目,ミナトマチ 4,MINATOMACHI 4,,33.835795,132.765892
124,松山東署管内,つきまとい,令和4年7月15日(金) 午後2時10分ころ,松山市湊町四丁目の路上,女性2名が歩行中、路上にいた男から凝視された上、後方をつきまとわれたもの。男は付近に停めていたバイクに乗り逃走した。,30~40歳位、小肥り、身長160cm位、黒色短髪、黒色ポロシャツ、ジーンズ着用、ネックウォーマー着用(鼻まで覆い隠していた)、ショルダーバッグ2個(銀色と赤色)所持、バイク使用,松山市湊町四丁目の,松山市湊町四丁目,2,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,湊町四丁目,ミナトマチ 4,MINATOMACHI 4,,33.835795,132.765892
125,松山東署管内,のぞき・盗撮,令和4年7月15日(金) 午後3時10分ころ,松山市真砂町の路上,女子高校生が建物2階の部屋にいたところ、路上にいた自転車に乗車の男から凝視されていたもの。その後も男は、付近をうろついていた。,30~40歳位、やせ型、170cm位、黒色短髪、黒色半袖Tシャツ、紺色7分丈ズボン、黒色マスク着用、メガネなし、銀色軽快兼用自転車(前カゴに反射板つき))使用,松山市真砂町の,松山市真砂町,0,pink,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,真砂町,マサゴチョウ,MASAGOCHO,,33.832591,132.760831
126,大洲署管内,写真撮影等,令和4年7月14日(木) 午後4時15分ころ,大洲市若宮の店舗敷地内,女子高校生が店舗敷地内に設置のベンチに座っていたところ、男から携帯電話機様のものを向けられたもの。その後男は、敷地内に停めていた車両に乗り込んだ。,50~60歳位、中肉、身長165cm位、黒色短髪、灰色半袖Tシャツ、黒色長ズボン着用、黒色様携帯電話機(ガラケー様)所持、銀色軽四乗用車使用,大洲市若宮の,大洲市若宮,0,写真撮影等,38.0,愛媛県,エヒメケン,EHIME KEN,38207.0,大洲市,オオズシ,OZU SHI,若宮,ワカミヤ,WAKAMIYA,,33.521514,132.549221
127,松山南署管内,写真撮影等,令和4年7月13日(水) 午前8時ころ,松山市福音寺町から同市三町三丁目までの路上,女子高校生が自転車で走行中、車に乗った男から、並走しながら、スマートフォンを向けられたもの。,40歳位、やせ型、黒色短髪、メガネ・マスクなし、普通自動車(紺色)使用、黒色スマートフォン所持,松山市福音寺町から同市三町三丁目までの,松山市福音寺町から同市三町三丁目まで,0,写真撮影等,,,,,,,,,,,,,,
128,久万高原署管内,声かけ,令和4年7月13日(水) 午前7時30分ころ,上浮穴郡久万高原町久万の路上,女子中学生が歩行中、対向から歩いて来た男から、「名前は?」等と声をかけられ、つきまとわれたもの。,40歳位、やせ型、180センチ位、金色長髪(背中に届くくらいの長髪、一つ結び)、黒色Tシャツ、白色長ズボン、色白、黒縁メガネ着用,上浮穴郡久万高原町久万の,上浮穴郡久万高原町久万,1,green,38.0,愛媛県,エヒメケン,EHIME KEN,38386.0,上浮穴郡久万高原町,カミウケナグンクマコウゲンチョウ,KAMIUKENA GUN KUMAKOGEN CHO,久万,クマ,KUMA,,33.657872,132.894815
129,今治署管内,暴行,令和4年7月12日(火) 午後7時10分ころ,今治市美須賀町四丁目の路上,男子高校生が自転車で走行中、後方から近づいてきた自転車に乗車の男から暴言を吐かれ停車したところ、胸辺りを一発殴られたもの。,50~60歳位、やせ型、身長160~165センチ位、短髪(上は少し長め、横は刈り上げ)、紺色Tシャツ、水色ジーンズ、目の下にクマ、暗色の自転車使用(カゴ付き),今治市美須賀町四丁目の,今治市美須賀町四丁目,0,red,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,美須賀町四丁目,ミスカチョウ 4,MISUKACHO 4,,34.059108,133.012
130,新居浜署管内,声かけ,令和4年7月12日(火) 午後4時15分ころ,新居浜市大生院の店舗駐車場,女子中学生2名が店舗に立ち寄った際、車の助手席から降車した男に、乗っていた車を指さしながら「1000万円あるよ。」と声をかけられ、つきまとわれたもの。,30歳位、身長175センチ位、黒色短髪、黒色半袖Tシャツ、彫が深い、外国人風、ミントグリーン色の軽四乗用自動車様使用、車の運転席にもう一人男(30歳位、黒髪短髪、白色Tシャツ、外国人風、目の彫が深い)が乗車,新居浜市大生院の,新居浜市大生院,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38205.0,新居浜市,ニイハマシ,NIIHAMA SHI,大生院,オオジョウイン,OJOIN,,33.899194,133.257014
131,八幡浜署管内,つきまとい,令和4年7月11日(月) 午後9時ころ,八幡浜市大平の路上,女性2名が歩行中、路上の真ん中に立ち、独り言を言っていた男から、後方をつきまとわれたもの。,20~30歳位、白色長袖ワイシャツ、チェック柄ズボン、横長リュックサック所持、徒歩,八幡浜市大平の,八幡浜市大平,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38204.0,八幡浜市,ヤワタハマシ,YAWATAHAMA SHI,大平,オオヒラ,OHIRA ,,33.470429,132.430493
132,新居浜署管内,写真撮影等,令和4年7月11日(月) 午後7時ころ,新居浜市神郷一丁目の路上,女子中学生が歩行中、車両から降車してきた男から、スマートフォンを向けられたもの。,30歳位、暗めの色の肩上くらいまでの長さの頭髪、暗い色の半袖Tシャツ、ジーパン、スマートフォン(水色カバー付き)所持,新居浜市神郷一丁目の,新居浜市神郷一丁目,0,写真撮影等,38.0,愛媛県,エヒメケン,EHIME KEN,38205.0,新居浜市,ニイハマシ,NIIHAMA SHI,神郷一丁目,コウザト 1,KOZATO 1,,33.967343,133.316939
133,宇和島署管内,つきまとい,令和4年7月11日(月) 午後5時30分ころ,北宇和郡鬼北町近永の路上,女子高校生2名が歩行中、対向から歩いて来た男からすれ違い後、Uターンしてつきまとわれたもの。,50歳位、中肉、身長165センチ位、黒色短髪、青色半袖Tシャツ、灰色長ズボン、黒色ショルダーバッグ所持、徒歩,北宇和郡鬼北町近永の,北宇和郡鬼北町近永,0,blue,,,,,,,,,,,,,,
134,新居浜署管内,声かけ,令和4年7月8日(金) 午後6時ころ,新居浜市又野二丁目の駐輪場,女性が、駐輪場から無くなっていた自転車を探していたところ、同女性の自転車に乗った男を発見したため、声をかけて自転車を取り返した後、同男から「奢るから一緒にジュース飲もう。」等と声をかけられたもの。,50歳位、中肉、身長160センチ位、黒色短髪、Tシャツ(色不明)の上にピンク色シャツを羽織っている、メガネ・マスクなし、徒歩,新居浜市又野二丁目の,新居浜市又野二丁目,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38205.0,新居浜市,ニイハマシ,NIIHAMA SHI,又野二丁目,マタノ 2,MATANO 2,,33.967689,133.325578
135,今治署管内,写真撮影,令和4年7月8日(金) 午前10時30分ころ,今治市波方町養老甲の路上,自転車(黄色)に乗った男が今治市波方町養老甲の路上で、持っていたタブレット端末を建物敷地内に向けて構えていたもの。,60歳以上、上衣:ボーダー柄シャツ、下衣:黒色 半ズボン、自転車(黄色)使用,今治市波方町養老甲の,今治市波方町養老,0,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,波方町養老,ナミカタチョウヨウロウ,NAMIKATACHO YORO,,34.108913,132.943133
136,松山東署管内,写真撮影等,令和4年7月7日(木) 午後7時25分ころ,松山市文京町の路上,男子高校生が歩行中、対向から来た男からすれ違いざまにスマートフォンのカメラを向けられたもの。,30~40歳位、中肉、身長160~170センチ位、黒色短髪、濃い灰色半袖シャツ、ジャージ様ズボン、スマートフォン(黒色様)所持、徒歩,松山市文京町の,松山市文京町,0,写真撮影等,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,文京町,ブンキョウチョウ,BUNKYOCHO,,33.849715,132.770515
137,松山西署管内,声かけ,令和4年7月7日(木) 午後3時55分ころ,松山市高岡町の路上,女子中学生が歩行中、自転車に乗った男からすれ違い後、Uターンして「ねえねえ。」と声をかけられ、「あなたタイプやけん。」等と言われたもの。,15~20歳位、やせ型、身長170センチ位、黒色短髪(天然パーマ)、白色半袖シャツ、紺色チェック柄長ズボン、黒色革靴・黒縁メガネ着用、黒色箱型バッグ所持、自転車使用(銀色様、前カゴ付き、ママチャリ様),松山市高岡町の,松山市高岡町,1,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,高岡町,タカオカマチ,TAKAOKAMACHI,,33.830862,132.720361
138,四国中央署管内,住居侵入等,令和4年7月6日(水) 午後4時ころ,四国中央市寒川町の一般住宅敷地内,女性が帰宅したところ、男が女性方敷地内に置かれた椅子に座っていたもの。,80歳位、中肉、身長165センチ位、上衣:Tシャツ、茶色サングラス・竹笠着用、リュックサック所持、徒歩,四国中央市寒川町の,四国中央市寒川町,1,住居侵入等,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,寒川町,サンガワチョウ,SANGAWACHO,,33.952462,133.507717
139,四国中央署管内,住居侵入等,令和4年7月6日(水) 午後4時ころ,四国中央市寒川町の一般住宅敷地内,女性が帰宅したところ、男が女性方敷地内に置かれた椅子に座っていたもの。,80歳位、中肉、身長165センチ位、上衣:Tシャツ、茶色サングラス・竹笠着用、リュックサック所持、徒歩,四国中央市寒川町の,四国中央市寒川町,1,住居侵入等,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,寒川町,サンガワチョウ,SANGAWACHO,大門,33.967211,133.503062
140,四国中央署管内,凝視,令和4年7月5日(火) 午後4時ころ,四国中央市土居町津根の路上,小学生女児3名が路上にいたところ、自転車に乗った男から顔を覗き込むようにして凝視されたもの。,若い、中肉、短髪、青色服、ナイロン製ズボン、メガネ着用、自転車使用,四国中央市土居町津根の,四国中央市土居町津根,1,凝視,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,土居町津根,ドイチョウツネ,DOICHO TSUNE,,33.967002,133.45345
141,松山東署管内,声かけ,令和4年7月5日(火) 午前9時ころ,松山市祝谷二丁目の路上,女性が歩行中、男から「連絡先教えて。」「1回遊ばない?」等と声をかけられた後、卑わいな言葉をかけられたもの。,40歳位、中肉、身長170センチ位、毛先が茶色の黒髪短髪、青か灰色半袖ポロシャツ、長ズボン、目が細くつり上がっている、徒歩,松山市祝谷二丁目の,松山市祝谷二丁目,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,祝谷二丁目,イワイダニ 2,IWAIDANI 2,,33.855782,132.780457
142,松山東署管内,声かけ,令和4年7月5日(火) 午前7時40分ころ,松山市上市一丁目の路上,小学生女児が歩行中、自転車に乗った男からすれ違いざまに「マスク外していいんよ。」「このバカ。」等と声をかけられたもの。,白髪混じりの頭髪、オレンジ色Tシャツ、歯が数本抜けている、自転車使用(ハンドル部分に傘を取り付けている),松山市上市一丁目の,松山市上市一丁目,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,上市一丁目,カミイチ 1,KAMIICHI 1,,33.84449,132.78887
143,伊予署管内,写真撮影,令和4年7月4日(月) 午後3時ころ,伊予市米湊の店舗内,女性が子供を連れ店内にいたところ、男から何度も付近をうろつかれた上、スマートフォンを向けられたもの。,50~70歳位、中肉、身長160センチ位、白髪混じりの短髪、赤色ポロシャツ、黒色長ズボン、白色マスク着用、メガネなし、黒色様バッグ・黒色カバー付きスマートフォン所持,伊予市米湊の,伊予市米湊,1,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,米湊,コミナト,KOMINATO,,33.753461,132.703302
144,伊予署管内,写真撮影,令和4年7月4日(月) 午後3時ころ,伊予市米湊の店舗内,女性が子供を連れ店内にいたところ、男から何度も付近をうろつかれた上、スマートフォンを向けられたもの。,50~70歳位、中肉、身長160センチ位、白髪混じりの短髪、赤色ポロシャツ、黒色長ズボン、白色マスク着用、メガネなし、黒色様バッグ・黒色カバー付きスマートフォン所持,伊予市米湊の,伊予市米湊,1,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38210.0,伊予市,イヨシ,IYO SHI,米湊,コミナト,KOMINATO,安広,33.757102,132.705117
145,松山南署管内,不審者,令和4年7月3日(日) 午後9時10分ころ,東温市野田二丁目の一般住宅敷地内,男が住宅敷地内に入り、隣家の浴室方向を見ていたもの。,50~60歳位、身長165センチ位、上下黒色様の服、黒色ワークキャップ着用、徒歩,東温市野田二丁目の,東温市野田二丁目,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38215.0,東温市,トウオンシ,TOON SHI,野田二丁目,ノダ 2,NODA 2,,33.794519,132.837994
146,松山南署管内,暴行,令和4年7月3日(日) 午後3時ころ,松山市森松町の路上,男子中学生3名が自転車で走行中、徒歩の男から因縁をつけられ、唾を吐きかけられたもの。,50~60歳位、中肉、身長170センチ位、白髪混じりの黒色短髪、水色シャツ、徒歩,松山市森松町の,松山市森松町,0,red,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,森松町,モリマツマチ,MORIMATSUMACHI,,33.789207,132.791713
147,今治署管内,不審者,令和4年7月1日(金) 午後5時ころ,今治市徳重の路上,自転車に乗った男が、アパート敷地内をジロジロ見ながら、うろついていたもの。,60~80歳位、中肉、白髪混じりの短髪、半袖シャツ、長ズボン、自転車使用(一文字ハンドル),今治市徳重の,今治市徳重,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,徳重,トクシゲ,TOKUSHIGE,,34.036394,132.985403
148,松山南署管内,声かけ,令和4年7月1日(金) 午後3時50分ころ,松山市鷹子町の路上,小学生数名が歩行中、自転車に乗った男から「何小の何年生?」と声をかけられたもの。同男は、他の小学生にも声をかけていた。,30歳位、白色シャツ、黒色ズボン、レジ袋所持、自転車使用,松山市鷹子町の,松山市鷹子町,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,鷹子町,タカノコマチ,TAKANOKOMACHI,,33.819919,132.813414
149,四国中央署管内,つきまとい,令和4年6月30日(木) 午後8時30分ころ,四国中央市三島宮川一丁目の施設敷地内,女子高校生2名が施設敷地内を歩行中、徒歩の男からつきまとわれ、ズボンの上から下半身を触る様子を見せつけられたもの。,20歳位、中肉、身長165センチ位、緑色無地の半袖、黒色長ズボン、青色キャップ帽・黒色マスク・黒色靴着用、徒歩,四国中央市三島宮川一丁目の,四国中央市三島宮川一丁目,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38213.0,四国中央市,シコクチュウオウシ,SHIKOKUCHUO SHI,三島宮川一丁目,ミシマミヤガワ 1,MISHIMA MIYAGAWA 1,,33.986668,133.547201
150,松山東署管内,不審者,令和4年6月29日(水) 午後6時ころ,松山市東雲町の屋外施設,女性が子供と屋外施設にいたところ、男がトイレ内や木の陰に隠れるなどの挙動不審な行動をしながら、屋外施設で遊ぶ小学生を凝視していたもの。,20~40歳位、中肉、上下明るい灰色の服、徒歩,松山市東雲町の,松山市東雲町,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,東雲町,シノノメチョウ,SHINONOMECHO,,33.845331,132.773986
151,松山東署管内,暴行,令和4年6月29日(水) 午後4時50分ころ,松山市山越一丁目の路上,女子中学生が歩行中、自転車に乗った男から、すれ違いざまに唾をかけられたもの。,40~65歳位、白色長髪、紺色長袖ナイロン製、灰色ナイロン製長ズボン、色黒、黒色キャップ帽着用、黒色丸型リュックサック所持、軽快兼用自転車使用(銀色、前カゴ付き),松山市山越一丁目の,松山市山越一丁目,0,red,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,山越一丁目,ヤマゴエ 1,YAMAGOE 1,,33.857631,132.756226
